Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_CHECKLIST,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,environment_(biome),environment_(feature),environment_(material),Experiment,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_gut_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,project_name,ReleaseDate,sample_acc,Sample Name,sample_name,sequencing_method,SRA_accession,SRA Study,title,Run
ERR688385,31343,WGS,87,86195075,PRJEB7774,SAMEA3136665,83376491,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633386,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022069-37,SINGLE,other,METAGENOMIC,86,79,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608516,SAMEA3136665,ERS608516,Illumina,ERS608516,ERP008729,Stool sample from controls,ERR688385
ERR688358,31004,WGS,79,62474530,PRJEB7774,SAMEA3136748,67759506,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633359,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021650-108,SINGLE,other,METAGENOMIC,62,64,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608599,SAMEA3136748,ERS608599,Illumina,ERS608599,ERP008729,Stool sample from carcinoma,ERR688358
ERR688359,31009,WGS,88,102874412,PRJEB7774,SAMEA3136648,100769689,BGI,2013,public,"sra,fastq","ncbi,ena,gs,s3","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633360,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022053-133,SINGLE,other,METAGENOMIC,102,96,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608499,SAMEA3136648,ERS608499,Illumina,ERS608499,ERP008729,Stool sample from controls,ERR688359
ERR688360,31021,WGS,88,98141619,PRJEB7774,SAMEA3136638,94869369,BGI,2013,public,"fastq,sra","ncbi,s3,ena,gs","gs.US,s3.us-east-1,ncbi.public,ena",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633361,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022043-90,SINGLE,other,METAGENOMIC,98,90,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608489,SAMEA3136638,ERS608489,Illumina,ERS608489,ERP008729,Stool sample from controls,ERR688360
ERR688361,31030,WGS,88,71112063,PRJEB7774,SAMEA3136703,69056250,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633362,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021937-109,SINGLE,other,METAGENOMIC,71,65,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608554,SAMEA3136703,ERS608554,Illumina,ERS608554,ERP008729,Stool sample from advanced adenoma,ERR688361
ERR688362,31071,WGS,89,82353944,PRJEB7774,SAMEA3136670,79486250,BGI,2013,public,"fastq,sra","ena,s3,ncbi,gs","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633363,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022073-62,SINGLE,other,METAGENOMIC,82,75,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608521,SAMEA3136670,ERS608521,Illumina,ERS608521,ERP008729,Stool sample from controls,ERR688362
ERR688363,31112,WGS,90,118458156,PRJEB7774,SAMEA3136657,112830607,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633364,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022084-20,SINGLE,other,METAGENOMIC,118,107,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608508,SAMEA3136657,ERS608508,Illumina,ERS608508,ERP008729,Stool sample from controls,ERR688363
ERR688364,31129,WGS,91,75399723,PRJEB7774,SAMEA3136660,69236020,BGI,2013,public,"fastq,sra","s3,ena,gs,ncbi","ncbi.public,ena,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633365,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022081-26,SINGLE,other,METAGENOMIC,75,66,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608511,SAMEA3136660,ERS608511,Illumina,ERS608511,ERP008729,Stool sample from controls,ERR688364
ERR688365,31137,WGS,90,85463912,PRJEB7774,SAMEA3136712,81622814,BGI,2013,public,"fastq,sra","s3,gs,ncbi,ena","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633366,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021945-158,SINGLE,other,METAGENOMIC,85,77,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608563,SAMEA3136712,ERS608563,Illumina,ERS608563,ERP008729,Stool sample from advanced adenoma,ERR688365
ERR688366,31159,WGS,82,76916703,PRJEB7774,SAMEA3136769,80882220,BGI,2013,public,"sra,fastq","gs,ncbi,ena,s3","ena,ncbi.public,gs.US,s3.us-east-1",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633367,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021669-24,SINGLE,other,METAGENOMIC,76,77,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608620,SAMEA3136769,ERS608620,Illumina,ERS608620,ERP008729,Stool sample from carcinoma,ERR688366
ERR688367,31160,WGS,85,72052894,PRJEB7774,SAMEA3136630,71009912,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633368,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021961-43,SINGLE,other,METAGENOMIC,72,67,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608481,SAMEA3136630,ERS608481,Illumina,ERS608481,ERP008729,Stool sample from controls,ERR688367
ERR688368,31188,WGS,81,67929666,PRJEB7774,SAMEA3136751,72770611,BGI,2013,public,"fastq,sra","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633369,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021653-113,SINGLE,other,METAGENOMIC,67,69,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608602,SAMEA3136751,ERS608602,Illumina,ERS608602,ERP008729,Stool sample from carcinoma,ERR688368
ERR688369,31219,WGS,88,57139005,PRJEB7774,SAMEA3136634,55285909,BGI,2013,public,"fastq,sra","s3,ncbi,ena,gs","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633370,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021965-84,SINGLE,other,METAGENOMIC,57,52,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608485,SAMEA3136634,ERS608485,Illumina,ERS608485,ERP008729,Stool sample from controls,ERR688369
ERR688370,31223,WGS,84,83075106,PRJEB7774,SAMEA3136738,83604830,BGI,2013,public,"sra,fastq","ncbi,ena,gs,s3","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633371,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021638-43,SINGLE,other,METAGENOMIC,83,79,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608589,SAMEA3136738,ERS608589,Illumina,ERS608589,ERP008729,Stool sample from carcinoma,ERR688370
ERR688371,31232,WGS,87,80106953,PRJEB7774,SAMEA3136674,78139766,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,ncbi.public,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633372,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022077-90,SINGLE,other,METAGENOMIC,80,74,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608525,SAMEA3136674,ERS608525,Illumina,ERS608525,ERP008729,Stool sample from controls,ERR688371
ERR688372,31233,WGS,88,72926587,PRJEB7774,SAMEA3136714,70361224,BGI,2013,public,"fastq,sra","ena,s3,gs,ncbi","ncbi.public,ena,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633373,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021947-169,SINGLE,other,METAGENOMIC,72,67,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608565,SAMEA3136714,ERS608565,Illumina,ERS608565,ERP008729,Stool sample from advanced adenoma,ERR688372
ERR688373,31236,WGS,88,70438868,PRJEB7774,SAMEA3136663,67024656,BGI,2013,public,"fastq,sra","ena,gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US,ena",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633374,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022067-33,SINGLE,other,METAGENOMIC,70,63,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608514,SAMEA3136663,ERS608514,Illumina,ERS608514,ERP008729,Stool sample from controls,ERR688373
ERR688374,31237,WGS,83,63832199,PRJEB7774,SAMEA3136747,67869260,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633375,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:32Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021649-102,SINGLE,other,METAGENOMIC,63,64,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608598,SAMEA3136747,ERS608598,Illumina,ERS608598,ERP008729,Stool sample from carcinoma,ERR688374
ERR688375,31256,WGS,84,72996477,PRJEB7774,SAMEA3136693,75556921,BGI,2013,public,"sra,fastq","ncbi,ena,gs,s3","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633376,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021671-62,SINGLE,other,METAGENOMIC,72,72,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608544,SAMEA3136693,ERS608544,Illumina,ERS608544,ERP008729,Stool sample from advanced adenoma,ERR688375
ERR688376,31267,WGS,89,95171906,PRJEB7774,SAMEA3136676,91624578,BGI,2013,public,"fastq,sra","ncbi,s3,ena,gs","ncbi.public,s3.us-east-1,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633377,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022076-89,SINGLE,other,METAGENOMIC,95,87,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608527,SAMEA3136676,ERS608527,Illumina,ERS608527,ERP008729,Stool sample from controls,ERR688376
ERR688377,31275,WGS,88,70847312,PRJEB7774,SAMEA3136707,69424147,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,s3.us-east-1,ncbi.public,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633378,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021941-129,SINGLE,other,METAGENOMIC,70,66,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608558,SAMEA3136707,ERS608558,Illumina,ERS608558,ERP008729,Stool sample from advanced adenoma,ERR688377
ERR688378,31276,WGS,84,50970666,PRJEB7774,SAMEA3136743,53231188,BGI,2013,public,"fastq,sra","ena,ncbi,s3,gs","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633379,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:29Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021668-89,SINGLE,other,METAGENOMIC,50,50,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608594,SAMEA3136743,ERS608594,Illumina,ERS608594,ERP008729,Stool sample from carcinoma,ERR688378
ERR688379,31282,WGS,89,71801067,PRJEB7774,SAMEA3136704,69065285,BGI,2013,public,"fastq,sra","gs,ncbi,s3,ena","s3.us-east-1,ena,ncbi.public,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633380,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021938-111,SINGLE,other,METAGENOMIC,71,65,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608555,SAMEA3136704,ERS608555,Illumina,ERS608555,ERP008729,Stool sample from advanced adenoma,ERR688379
ERR688380,31285,WGS,80,95127967,PRJEB7774,SAMEA3136754,102448560,BGI,2013,public,"fastq,sra","ena,ncbi,s3,gs","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633381,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021656-133,SINGLE,other,METAGENOMIC,95,97,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608605,SAMEA3136754,ERS608605,Illumina,ERS608605,ERP008729,Stool sample from carcinoma,ERR688380
ERR688381,31300,WGS,87,108714360,PRJEB7774,SAMEA3136644,106415517,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ncbi.public,ena,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633382,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022049-109,SINGLE,other,METAGENOMIC,108,101,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608495,SAMEA3136644,ERS608495,Illumina,ERS608495,ERP008729,Stool sample from controls,ERR688381
ERR688382,31328,WGS,86,115699167,PRJEB7774,SAMEA3136654,115572466,BGI,2013,public,"sra,fastq","ncbi,ena,gs,s3","s3.us-east-1,gs.US,ncbi.public,ena",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633383,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022059-169,SINGLE,other,METAGENOMIC,115,110,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608505,SAMEA3136654,ERS608505,Illumina,ERS608505,ERP008729,Stool sample from controls,ERR688382
ERR688383,31333,WGS,88,89005990,PRJEB7774,SAMEA3136673,85540651,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","s3.us-east-1,ncbi.public,ena,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633384,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:35Z,2016-10-21T09:36:28Z,public,Illumina HiSeq 2000,metagenome,SZAXPI022075-88,SINGLE,other,METAGENOMIC,89,81,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608524,SAMEA3136673,ERS608524,Illumina,ERS608524,ERP008729,Stool sample from controls,ERR688383
ERR688384,31337,WGS,86,50197506,PRJEB7774,SAMEA3136702,50459270,BGI,2013,public,"fastq,sra","ena,gs,ncbi,s3","ena,ncbi.public,s3.us-east-1,gs.US",ERC000015,3/5/2015,11/16/2018,human gut,human-associated habitat,faeces,ERX633385,Austria,47.80151,13.04292,human-gut,BGI,Beijing Genome Institute,2015-03-05T17:03:36Z,2016-10-21T09:36:31Z,public,Illumina HiSeq 2000,metagenome,SZAXPI021672-108,SINGLE,other,METAGENOMIC,50,48,human gut metagenome,ILLUMINA,Gut microbiome development along the colorectal adenoma-carcinoma sequence,2015-03-06T00:00:00Z,ERS608553,SAMEA3136702,ERS608553,Illumina,ERS608553,ERP008729,Stool sample from advanced adenoma,ERR688384
